lead_days,intact_probability,seasonal_reconstruction_probability,independent_reordering_probability,observed_flow,Q10
49,0.13861386138613863,0.1485148514851485,0.6831683168316832,0.23424494649227104,0.37217598097502974
50,0.13861386138613863,0.15841584158415842,0.7326732673267327,0.2294887039239001,0.37217598097502974
51,0.13861386138613863,0.15841584158415842,0.7623762376237624,0.21759809750297257,0.37217598097502974
52,0.13861386138613863,0.16831683168316833,0.7722772277227723,0.20927467300832342,0.37217598097502974
53,0.13861386138613863,0.16831683168316833,0.7821782178217822,0.21284185493460164,0.37217598097502974
54,0.13861386138613863,0.16831683168316833,0.8118811881188119,0.21046373365041612,0.37217598097502974
55,0.15841584158415842,0.1782178217821782,0.8316831683168316,0.21046373365041612,0.37217598097502974
56,0.15841584158415842,0.19801980198019803,0.8514851485148515,0.20451843043995235,0.37217598097502974
57,0.16831683168316833,0.2079207920792079,0.8811881188118812,0.1961950059453032,0.37217598097502974
58,0.16831683168316833,0.21782178217821782,0.9108910891089109,0.18311533888228299,0.37217598097502974
59,0.16831683168316833,0.21782178217821782,0.9207920792079208,0.17835909631391192,0.37217598097502974
60,0.1782178217821782,0.21782178217821782,0.9306930693069307,0.173602853745541,0.37217598097502974
61,0.1782178217821782,0.21782178217821782,0.9306930693069307,0.17954815695600473,0.37217598097502974
62,0.1782178217821782,0.21782178217821782,0.9405940594059405,0.16765755053507725,0.37217598097502974
63,0.1782178217821782,0.22772277227722773,0.9405940594059405,0.18906064209274673,0.37217598097502974
64,0.18811881188118812,0.22772277227722773,0.9504950495049505,0.173602853745541,0.37217598097502974
65,0.18811881188118812,0.22772277227722773,0.9603960396039604,0.15457788347205703,0.37217598097502974
66,0.18811881188118812,0.2376237623762376,0.9603960396039604,0.14744351961950056,0.37217598097502974
67,0.2079207920792079,0.2376237623762376,0.9702970297029703,0.13912009512485138,0.37217598097502974
68,0.21782178217821782,0.24752475247524752,0.9702970297029703,0.1307966706302021,0.37217598097502974
69,0.21782178217821782,0.24752475247524752,0.9801980198019802,0.12841854934601657,0.37217598097502974
70,0.21782178217821782,0.25742574257425743,0.9801980198019802,0.1307966706302021,0.37217598097502974
71,0.21782178217821782,0.25742574257425743,0.9801980198019802,0.11521997621878712,0.37217598097502974
72,0.21782178217821782,0.25742574257425743,0.9801980198019802,0.103923900118906,0.37217598097502974
73,0.21782178217821782,0.25742574257425743,0.9801980198019802,0.09976218787158136,0.37217598097502974
74,0.21782178217821782,0.25742574257425743,0.9801980198019802,0.09429250891795479,0.37217598097502974
75,0.21782178217821782,0.26732673267326734,0.9801980198019802,0.0926278240190249,0.37217598097502974
76,0.21782178217821782,0.26732673267326734,0.9801980198019802,0.10749108204518423,0.37217598097502974
77,0.21782178217821782,0.27722772277227725,0.9801980198019802,0.1200951248513674,0.37217598097502974
78,0.21782178217821782,0.27722772277227725,0.9801980198019802,0.10285374554102254,0.37217598097502974
79,0.21782178217821782,0.2871287128712871,0.9900990099009901,0.10011890606420919,0.37217598097502974
80,0.22772277227722773,0.31683168316831684,0.9900990099009901,0.09583828775267532,0.37217598097502974
81,0.2376237623762376,0.32673267326732675,0.9900990099009901,0.08894173602853743,0.37217598097502974
82,0.24752475247524752,0.33663366336633666,1.0,0.08406658739595714,0.37217598097502974
83,0.24752475247524752,0.33663366336633666,1.0,0.0986920332936979,0.37217598097502974
84,0.24752475247524752,0.3465346534653465,1.0,0.11450653983353146,0.37217598097502974
85,0.24752475247524752,0.3465346534653465,1.0,0.08906064209274668,0.37217598097502974
86,0.26732673267326734,0.3465346534653465,1.0,0.07788347205707481,0.37217598097502974
87,0.26732673267326734,0.3465346534653465,1.0,0.0807372175980975,0.37217598097502974
88,0.26732673267326734,0.36633663366336633,1.0,0.15933412604042804,0.37217598097502974
89,0.26732673267326734,0.37623762376237624,1.0,0.14863258026159337,0.37217598097502974
90,0.27722772277227725,0.40594059405940597,1.0,0.1331747919143876,0.37217598097502974
91,0.27722772277227725,0.40594059405940597,1.0,0.1331747919143876,0.37217598097502974
92,0.27722772277227725,0.40594059405940597,1.0,0.1319857312722948,0.37217598097502974
93,0.27722772277227725,0.42574257425742573,1.0,0.11260404280618311,0.37217598097502974
94,0.27722772277227725,0.42574257425742573,1.0,0.10344827586206895,0.37217598097502974
95,0.27722772277227725,0.42574257425742573,1.0,0.0980975029726516,0.37217598097502974
96,0.27722772277227725,0.43564356435643564,1.0,0.09655172413793095,0.37217598097502974
97,0.27722772277227725,0.44554455445544555,1.0,0.10154577883472049,0.37217598097502974
98,0.27722772277227725,0.45544554455445546,1.0,0.08763376932223538,0.37217598097502974
99,0.2871287128712871,0.46534653465346537,1.0,0.12722948870392387,0.37217598097502974
100,0.2871287128712871,0.46534653465346537,1.0,0.11771700356718187,0.37217598097502974
101,0.2871287128712871,0.4752475247524752,1.0,0.10428061831153383,0.37217598097502974
102,0.2871287128712871,0.4752475247524752,1.0,0.1021403091557669,0.37217598097502974
103,0.2871287128712871,0.48514851485148514,1.0,0.10154577883472049,0.37217598097502974
104,0.2871287128712871,0.48514851485148514,1.0,0.08109393579072532,0.37217598097502974
105,0.2871287128712871,0.49504950495049505,1.0,0.07835909631391197,0.37217598097502974
106,0.2871287128712871,0.504950495049505,1.0,0.07348394768133168,0.37217598097502974
107,0.2871287128712871,0.5148514851485149,1.0,0.06302021403091558,0.37217598097502974
108,0.297029702970297,0.5247524752475248,1.0,0.05659928656361465,0.37217598097502974
109,0.297029702970297,0.5247524752475248,1.0,0.05065398335315101,0.37217598097502974
110,0.297029702970297,0.5247524752475248,1.0,0.04649227110582636,0.37217598097502974
111,0.297029702970297,0.5346534653465347,1.0,0.04530321046373365,0.37217598097502974
112,0.297029702970297,0.5346534653465347,1.0,0.041498216409036844,0.37217598097502974
113,0.297029702970297,0.5346534653465347,1.0,0.041854934601664666,0.37217598097502974
